id,question
0,Каково содержание законодательства Республики Казахстан об административных правонарушениях?
0,На каких документах основывается Кодекс об административных правонарушениях Республики Казахстан?
0,Как осуществляется внесение изменений в настоящий Кодекс?
0,Каков приоритет международных договоров по сравнению с Кодексом об административных правонарушениях?
0,Что представляет собой составная часть законодательства об административных правонарушениях?
1,Что является основанием административной ответственности согласно статье 2?
1,Какое деяние считается правонарушением в контексте административной ответственности?
1,Какие признаки должны присутствовать для признания деяния правонарушением?
1,Ссылка на какую часть Кодекса необходима для определения административной ответственности?
1,Что включает в себя состав правонарушения по статье 2?
2,"Каковы условия административной ответственности за правонарушения, совершенные на территории Республики Казахстан?"
2,Что считается административным правонарушением на территории Республики Казахстан согласно этому Кодексу?
2,"Распространяется ли действие данного Кодекса на правонарушения, совершенные в континентальном шельфе Казахстана?"
2,"Какова ответственность лиц, нарушивших закон на судне, приписанном к порту Казахстана, вне его границ?"
2,"Как решается вопрос об ответственности дипломатических представителей, совершивших правонарушения на территории Казахстана?"
3,"Какое законодательство применяется к лицу, совершившему административное правонарушение?"
3,Когда признается время совершения административного правонарушения согласно статье 4?
3,"Подлежит ли лицо ответственности, если правонарушение совершено до изменения законодательства?"
3,Что такое 'время совершения административного правонарушения' в контексте статьи 4?
3,Зависит ли ответственность за административное правонарушение от времени наступления последствий?
4,"Как закон, который смягчает административную ответственность, влияет на правонарушения, совершенные до его введения?"
4,"Какие действия лица, совершившего административное правонарушение, попадают под закон, имеющий обратную силу?"
4,"Имеет ли закон, усиливающий административную ответственность, обратную силу?"
4,"Что происходит с постановлением о наложении административного взыскания, если закон о смягчении ответственности вступает в силу?"
4,"Когда вступает в действие закон, улучшающий положение правонарушителя?"
5,Каковы основные задачи законодательства об административных правонарушениях?
5,Кто отвечает за охрану прав и законных интересов граждан в сфере административного законодательства?
5,Какие принципы административной ответственности предусмотрены законодательством?
5,Что должно быть определено законодательством для квалификации деяний как административные правонарушения?
5,Как устанавливаются виды взысканий за совершение административных правонарушений?
6,Какое значение имеют принципы законодательства об административных правонарушениях?
6,Что происходит при нарушении принципов законодательства об административных правонарушениях?
6,Какое последствие влечет нарушение принципов статей 7?
6,Что признается недействительным согласно статье 7?
6,"Какие материалы считаются недействительными, если принципы законодательства нарушены?"
7,Какие меры административного взыскания могут быть применены в соответствии с настоящим Кодексом?
7,"Каковы требования, которые суды обязаны соблюдать при производстве по делам об административных правонарушениях?"
7,"Что делать суду, если он обнаруживает, что закон ущемляет права граждан, закрепленные Конституцией?"
7,Какова юридическая сила Конституции Республики Казахстан по сравнению с другими законами?
7,"Какие последствия ожидают органы, нарушающие закон при рассмотрении дел об административных правонарушениях?"
8,"Какова суть статьи 9, касающейся равенства перед законом?"
8,Какие группы людей защищены от дискриминации согласно статье 9?
8,Какие обстоятельства не могут служить основанием для дискриминации в административных правонарушениях?
8,В чем заключается принцип равенства перед судом в делах об административных правонарушениях?
8,Можно ли подвергаться дискриминации по месту жительства согласно статье 9?
9,Что означает презумпция невиновности в контексте административного правонарушения?
9,"Каковы условия, при которых лицо считается невиновным по делу об административном правонарушении?"
9,"Кто обязан доказывать виновность лица, в отношении которого возбуждено дело об административном правонарушении?"
9,Как обрабатываются сомнения в виновности лица при рассмотрении дела об административном правонарушении?
9,"Каковы последствия, если дело рассматривается в порядке сокращенного производства?"
10,Как определяется вина физического лица в административных правонарушениях?
10,Допускается ли объективное вменение для физического лица?
10,Что считается виновным в административном правонарушении?
10,Какое деяние признается умышленным или по неосторожности?
10,В каких случаях физическое лицо может быть привлечено к ответственности?
11,Что гласит статья 12 относительно повторного привлечения к административной ответственности?
11,Можно ли привлечь к административной ответственности за одно и то же правонарушение несколько раз?
11,Какое нормативное постановление связано с исключением повторной ответственности?
11,Какой закон регулирует недопустимость повторного привлечения к административной ответственности в Казахстане?
11,Что означает недопустимость повторного привлечения к ответственности в контексте административных правонарушений?
12,Каков принцип гуманизма в административном взыскании?
12,Каково назначение административного взыскания согласно статье 13?
12,"Какие цели не могут преследовать санкции, применяемые к правонарушителям?"
12,Что запрещено в отношении физических страданий в административном взыскании?
12,Какое значение имеет человеческое достоинство в контексте административных взысканий?
13,Каковы основания для административного задержания согласно статье 14?
13,Кто имеет право налагать административный арест и в каких случаях это возможно?
13,Как должны быть сообщены основания задержания и юридическая квалификация правонарушения задержанному?
13,"Что делать, если задержанный был освобожден после незаконного задержания?"
13,Какие меры предусмотрены для защиты прав личности при административном аресте?
14,Что запрещается при производстве по делам об административных правонарушениях относительно чести и достоинства личности?
14,Какой порядок возмещения морального вреда установлен для лиц в ходе административных дел?
14,Какие сведения не подлежат сбору и распространению согласно статье 15?
14,"Кто несет ответственность за незаконные действия, унижающие честь личности во время административного разбирательства?"
14,Какое значение имеет пункт 1 статьи 15 для защиты личной жизни участников дела?
15,Как закон защищает частную жизнь и тайну личных данных?
15,Каковы права каждого человека в отношении его личных вкладов и сбережений?
15,В каких случаях допускается ограничение прав на неприкосновенность частной жизни?
15,Какие виды сообщений защищены законом от раскрытия?
15,Какое значение имеет статья 16 в контексте охраны личной информации?
16,Что гарантируется законом в отношении собственности согласно статье 17?
16,"Каким образом можно лишить человека имущества, предусмотренного статьей 17?"
16,"В каких случаях может производиться изъятие имущества, согласно статье 17?"
16,"Каковы меры, которые могут быть применены к транспортным средствам и маломерным судам в соответствии со статьей 17?"
16,"Какие документы могут быть подвержены осмотру в процессе, предусмотренном статьей 17?"
17,Какова роль независимости судов и судей в рассмотрении административных правонарушений?
17,Что подразумевается под посторонним воздействием на суд и судью?
17,Какие последствия возникают при вмешательстве в деятельность суда?
17,"Кто является органом, уполномоченным рассматривать дела об административных правонарушениях?"
17,"Как осуществляется защита независимости судов и судей в условиях, исключающих вмешательство?"
18,Какие лица освобождаются от обязанности давать показания против себя и своих близких?
18,В каких случаях священнослужители не обязаны свидетельствовать?
18,Какие обязанности у уполномоченного по правам человека в Республике Казахстан относительно дачи показаний?
18,"Какова ответственность лиц, которые отказываются от дачи показаний согласно данной статье?"
18,"Когда вступили в силу изменения в статью 19, касающиеся освобождения от обязанности давать показания?"
19,Какое право имеет каждый человек в ходе административного производства?
19,При каких условиях юридическая помощь оказывается бесплатно?
19,В каких случаях возможно получение квалифицированной юридической помощи?
19,Что подразумевается под квалифицированной юридической помощью?
19,К какому Кодексу относится статья 20 об обеспечении прав на юридическую помощь?
20,Какой принцип производства по делам об административных правонарушениях установлен в статье 21?
20,В каких случаях возможно закрытое производство по делам об административных правонарушениях?
20,Какие условия необходимы для оглашения личной переписки и телеграфных сообщений при открытом производстве?
20,"Каковы права лиц, участвующих в деле, в отношении фиксации хода производства?"
20,При каких условиях осуществляется видеозапись и фотосъемка на открытом производстве?
21,Как обеспечивается безопасность участников производства по делам об административным правонарушениям?
21,Какие меры могут быть приняты для обеспечения безопасности в суде?
21,"Кто может распорядиться о проверке лиц, желающих присутствовать на производстве?"
21,Какие проверки могут проводиться перед входом в зал судебного разбирательства?
21,К каким действиям могут прибегнуть судья или должностное лицо для обеспечения безопасности?
22,"Какое право имеет лицо, участвующее в деле об административных правонарушениях согласно статье 23?"
22,"Можно ли обжаловать действия должностного лица, уполномоченного составлять протоколы по административным правонарушениям?"
22,Что запрещает статья 23 в отношении подачи жалоб?
22,Какой порядок установлен для оспаривания решений суда по делам об административных правонарушениях?
22,"Кто может подавать жалобу на решения органов, рассматривающих дела об административных правонарушениях?"
23,Какое право имеет каждый человек в отношении своих прав и свобод согласно статье 24?
23,Кто может обратиться в суд для защиты прав физических лиц и интересов согласно данной статье?
23,"Можно ли изменить подсудность без согласия лица, к которому она относится?"
23,Как суд должен действовать в отношении законного представителя несовершеннолетних или лиц с ограниченными возможностями?
23,Каков порядок обращения в суд для защиты нарушенных прав согласно статье 24?
24,Что признается административным правонарушением согласно статье 25 Кодекса?
24,Какие действия могут быть квалифицированы как административные правонарушения в соответствии с этой статьей?
24,"Каковы условия наступления административной ответственности за правонарушения, упомянутые в статье 25?"
24,При каких обстоятельствах административные правонарушения не влекут уголовной ответственности согласно настоящему Кодексу?
24,Какое значение имеет Нормативное постановление Верховного Суда от 6 октября 2017 года для применения статьи 25?
25,Что означает совершение административного правонарушения умышленно согласно статье 26?
25,Какие признаки указывают на умышленность правонарушения?
25,Какое отношение должно быть у физического лица к последствиям своих действий для квалификации правонарушения как умышленного?
25,Что подразумевается под 'противоправным характером действия' в контексте статьи 26?
25,Какое значение имеет сознательное отношение к последствиям правонарушения согласно этой статье?
26,Что такое административное правонарушение по неосторожности согласно статье 27?
26,Какие условия необходимо соблюсти для квалификации деяния как правонарушения по неосторожности?
26,Как определяется наличие легкомысленного отношения к возможности вредных последствий действия?
26,Что подразумевается под 'должной внимательностью и предусмотрительностью' в контексте данной статьи?
26,Какие последствия могут ожидать физическое лицо за совершение административного правонарушения по неосторожности?
27,Кто подлежит административной ответственности согласно статье 28?
27,Какой минимальный возраст гражданина для привлечения к административной ответственности?
27,Какие лица могут быть привлечены к административной ответственности согласно статье 28?
27,В каком возрасте физическое лицо может быть привлечено к административной ответственности?
27,Являются ли юридические лица субъектами административной ответственности согласно данной статье?
28,Что подразумевается под состоянием невменяемости согласно статье 29?
28,Какие психические состояния могут привести к невменяемости по этому закону?
28,"Несет ли ответственность лицо, находящееся в состоянии невменяемости во время деяния?"
28,Какое значение имеет осознание своих действий для определения невменяемости?
28,Какие действия или бездействия считаются противоправными в контексте невменяемости?
29,Как должностное лицо может быть привлечено к административной ответственности?
29,Что означает ненадлежащее исполнение служебных обязанностей для должностного лица?
29,В каких случаях должностное лицо не подлежит административной ответственности?
29,Кто считается должностным лицом согласно статье 30?
29,На какие основания может опираться ответственность должностного лица в случае административного правонарушения?
30,Какие особенности административной ответственности при фиксации правонарушения с помощью сертифицированных технических средств регулирует статья 31?
30,"Кто привлекается к административной ответственности за правонарушения в области дорожного движения, зафиксированные автоматическими приборами?"
30,В каких случаях собственник транспортного средства может быть освобожден от административной ответственности?
30,Что понимается под сертифицированными специальными контрольно-измерительными техническими средствами в контексте статьи 31?
30,Кто признается владельцем транспортного средства согласно статье 31?
31,Какие лица несут административную ответственность за правонарушения в соответствии со статьёй 32?
31,За какие нарушения военнослужащие могут быть привлечены к ответственности согласно данной статье?
31,"Каковы санкции для военнослужащих, проходящих срочную службу, за административные нарушения?"
31,"Как органы, уполномоченные налагать административные взыскания, должны действовать по отношению к военнослужащим?"
31,К каким случаям не применяются дисциплинарные уставы для военнослужащих согласно статье 32?
32,Какие лица подлежат административной ответственности согласно статье 33?
32,В каких случаях индивидуальные предприниматели и юридические лица несут административную ответственность?
32,"Что происходит с работником индивидуального предпринимателя, если он был подвержен административной ответственности его работодателем?"
32,"Каковы последствия для структурных подразделений юридического лица, которые совершили административные правонарушения?"
32,"Кто может санкционировать или одобрить действия, за которые предусмотрена административная ответственность?"
33,"Какая административная ответственность предусмотрена для иностранцев, совершающих правонарушения на территории Республики Казахстан?"
33,Какова ответственность филиалов и представительств иностранных юридических лиц за нарушение казахстанского законодательства?
33,"Что происходит с дипломатами и иностранцами, имеющими иммунитет, если они совершают административные правонарушения в Казахстане?"
33,Какие нормы определяют ответственность иностранных и международных неправительственных объединений за правонарушения в Казахстане?
33,Подлежат ли иностранные юридические лица административной ответственности за действия на континентальном шельфе Казахстана?
34,Что такое необходимая оборона согласно статье 35 и как она влияет на ответственность за административные правонарушения?
34,Кто имеет право на необходимую оборону и зависим ли я от своей профессиональной подготовки для её осуществления?
34,Что такое превышение пределов необходимой обороны и какие последствия оно влечет?
34,"Могу ли я избежать ответственности за превышение пределов необходимой обороны, если быстрая реакция была вызвана страхом или испугом?"
34,"Каковы примеры деяний, которые могут быть классифицированы как необходимая оборона согласно статье 35?"
35,"Что не является административным правонарушением при задержании лица, совершившего посягательство?"
35,Какие меры считаются превышением необходимых для задержания лица по статье 36?
35,В каких случаях превышение мер задержания влечет административную ответственность?
35,"Кто имеет право на задержание лица, совершившего посягательство?"
35,Какие обстоятельства учитываются при оценке необходимости применения мер задержания?
36,Что такое крайняя необходимость и как она влияет на административные правонарушения?
36,"Каковы условия, при которых причинение вреда не считается правонарушением согласно статье 37?"
36,Что считается превышением пределов крайней необходимости в контексте статьи 37?
36,Какой вред может быть причинен в состоянии крайней необходимости без наступления административной ответственности?
36,Каковы последствия умышленного превышения пределов крайней необходимости согласно данной статье?
37,Каково значение физического или психического принуждения в контексте административного правонарушения согласно статье 38?
37,"Является ли деяние, совершенное под физическим или психическим принуждением, административным правонарушением?"
37,При каких обстоятельствах рассматривается административная ответственность за действия под психическим принуждением?
37,"Как статья 37 влияет на оценку ответственности за вред, причиненный в результате физического принуждения?"
37,"Что произойдет, если лицо сохраняло возможность руководить своими действиями при физическом принуждении?"
38,"Если я выполню приказ, который окажется незаконным, не будет ли это административным правонарушением?"
38,Кто несет административную ответственность за исполнение незаконного приказа или распоряжения?
38,"Можно ли избежать административной ответственности, если я не исполню незаконный приказ?"
38,"Какова ответственность лица, которое действует по заведомо незаконному приказу?"
38,"Что произойдет, если я совершу правонарушение по обязательному приказу, который окажется неправомерным?"
39,Что такое административное взыскание и кто имеет право его налагать?
39,Каковы основные цели применения административного взыскания согласно закону?
39,Предусматривает ли административное взыскание причинение физических страданий правонарушителю?
39,Является ли административное взыскание средством возмещения имущественного ущерба?
39,"Каким образом осуществляется возмещение вреда, причиненного административным правонарушением?"
40,Какие виды административных взысканий применяются за административные правонарушения?
40,Что может быть конфисковано в случае совершения административного правонарушения?
40,Какое административное взыскание может быть применено к юридическим лицам?
40,Что означает лишение специального права в контексте административных взысканий?
40,Какие санкции могут последовать за незаконное строительство?
41,Какие меры административных взысканий считаются основными в соответствии с главой 6 статьи 42?
41,Каково значение лишения специального права в рамках административных взысканий согласно статье 42?
41,Что представляет собой административный арест и в каких случаях он может быть применен?
41,Какие дополнительные меры административных взысканий предусмотрены статьей 42 для иностранных граждан?
41,Какое взыскание применяется только в качестве дополнительного и связано с незаконно возведенными строениями?
42,Что такое предупреждение согласно статье 43 Кодекса об административных правонарушениях?
42,В какой форме выносится предупреждение должностным лицом?
42,Когда суд обязан применить предупреждение согласно данной статье?
42,Ссылается ли данная статья на какие-либо изменения или нормативные акты?
42,Какое поведение предостерегает предупреждение согласно статье 43?
43,Как определяется размер административного штрафа за правонарушение согласно статье 44?
43,Какие максимальные размеры штрафа предусмотрены для физических и юридических лиц?
43,"Что произойдет, если размер штрафа превышает установленные нормы для физических лиц?"
43,Какова процедура взыскания административного штрафа по статье 44?
43,"Какой курс валюты используется для пересчета штрафа, если операция проведена в иностранной валюте?"
44,"Что такое конфискация предмета, связанного с административным правонарушением, согласно статье 45?"
44,"Каковы условия конфискации предметов, которые являются собственностью нарушителя?"
